Frage,Bibelstelle,Antwort
zwei Musikinstrumente,"Ps 98,6",Trompeten und Hörner
unechtes Körperteil,"Ps 120,3",falsche Zunge
Was wird geöffnet,"Ps 78,2",Mund
Wo wachsen die Bäume?,"Ps 72,16",Libanon
Wie viele Männer?,"Hiob 32,1",3
Mit wieviel Jahren wurde Zidkija König?,"2. Kön 24,18",21
Kleine Vögel,"Ps 147,9",junge Raben
Was regnet vom Himmel?,"Ps 78,27",Fleisch
"was kann schwimmen, obwohl es zu schwer dafür ist?","2 Kön 6,6",Eisen
Wie viele Steine suchte sich David?,"1 Sam 17,40",5
Ein Getränk,"Joel 2, 19",Most
Wie lange war Jona im Fisch?,"Jona 2,1",drei Tage und drei Nächte
Wie heißen die drei Söhne Noachs?,"Gen 6,10","Sem, Ham, Jafet"
Wo singen die drei Jungen Männer?,"Dan 3,51",Ofen
Wie viele Tage ruhen sie sich in Jerusalem aus?,"Esra 8,32",3
Welche Früchte sind im Kuchen?,"1 Chr 12,41",Traubenkuchen
Wo ist das Mehl? Wo ist das Öl?,"1 Kön 17,12","Topf, Krug"
"Was wird hochgehoben, damit es nicht nass wird?","Jes 47,2",Schleppe
Was wird gesät?,"Hos 8,7",Wind
Was bekommt Rut?,"Rut 4,13",einen Sohn
Ein Tier,"Hab 3, 19",Hirsch
Worin wird das Kleid gewaschen?,"Gen 49,11",Wein
Welche Farbe hat das Gewand?,"Jes 63,2",rot
Was ist süßer als Wein?,"Hld 1,2",Liebe
Was wächst und wird immer mächtiger?,"Dan 4,8",Baum
Wie viele Töchter hatte Rehabeam?,"2 Chr 11,21",60
Eine Waffe,"Jer 5,12",Schwert
Ein Kleidungsstück,"Ps 109,29",Mantel
Was denkt Eli von Hanna?,"1 Sam 1,13",Er hält sie für betrunken
Welche Frisur hatte Paulus?,"Apg 18,18",Glatze
Wie viele Pferde?,"Jes 36,8",2000
Ein Tier,"Dtn 9,16",Kalb
Ein weibliches Tier,"Spr 17,12",Bärin
Welche Farbe hat der Kranz?,"Offb 14,14",gold
Wie schmeckt Manna?,"Ex 16,31",Honigkuchen/Semmel mit Honig
Wie heißt der König von Baschan?,"Ps 135,11",Og
Wie viele Monate lebt Elisabeth zurückgezogen?,"Lk 1,24",5
Was reißen die anderen auf?,"Ps 35,21",Mund
Woher kam Melatja?,"Neh 3,7",Gibeon
Was zieht Josua aus?,"Jos 5,15",Schuhe
Wie alt war Barsillai?,"2 Sam 19,33",80
Von welchem Baum bekommt David Holz?,"1 Chronik 14,1",Zeder
Wer sieht einen Engel?,"Num 22,23",Esel
Welches Problem hat Jakob hier?,"Gen 32, 32",er hinkt
Was wächst denn hier?,"Jona 4, 6",Rizinusstrauch
Wer macht hier so einen Lärm?,"Am 3, 4",Löwe